Student Name,Username,Password,Class,Section,Father's Name,Mother's Name,Mobile No.,DOB,Address,Email ID,Batch
STUDENTNAME1,1219083,GC60DN57,Class 12,Mom,FATHERSNAME1,MOTHERSNAME1,1234567890,05-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME2,1219005,RI83JE23,Class 12,Mom,FATHERSNAME2,MOTHERSNAME2,1234567890,06-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME3,1219186,UV50BO50,Class 12,Mom,FATHERSNAME3,MOTHERSNAME3,1234567890,07-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME4,1219151,UQ87HP85,Class 12,Mom,FATHERSNAME4,MOTHERSNAME4,1234567890,08-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME5,1219299,LX66FP64,Class 12,Mom,FATHERSNAME5,MOTHERSNAME5,1234567890,09-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME6,1219094,HU42TU69,Class 12,Mom,FATHERSNAME6,MOTHERSNAME6,1234567890,10-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME7,1219256,MM73WZ48,Class 12,Mom,FATHERSNAME7,MOTHERSNAME7,1234567890,11-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME8,1219220,KL16TX47,Class 12,Mom,FATHERSNAME8,MOTHERSNAME8,1234567890,12-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME9,1219305,LB12CF69,Class 12,Mom,FATHERSNAME9,MOTHERSNAME9,1234567890,13-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME10,1219146,TD57OF17,Class 12,Mom,FATHERSNAME10,MOTHERSNAME10,1234567890,14-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME11,1219287,HB47GR71,Class 12,Mom,FATHERSNAME11,MOTHERSNAME11,1234567890,15-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME12,1219006,TG78UM52,Class 12,Mom,FATHERSNAME12,MOTHERSNAME12,1234567890,16-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME13,1219175,NQ44OB13,Class 12,Mom,FATHERSNAME13,MOTHERSNAME13,1234567890,17-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME14,1219071,SM49RA76,Class 12,Mom,FATHERSNAME14,MOTHERSNAME14,1234567890,18-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME15,1219197,YF13CE16,Class 12,Mom,FATHERSNAME15,MOTHERSNAME15,1234567890,19-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME16,1219311,RB89QX60,Class 12,Mom,FATHERSNAME16,MOTHERSNAME16,1234567890,20-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME17,1219014,GT81QM20,Class 12,Mom,FATHERSNAME17,MOTHERSNAME17,1234567890,21-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME18,1219181,AF52RS70,Class 12,Mom,FATHERSNAME18,MOTHERSNAME18,1234567890,22-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME19,1219032,QV87ZT22,Class 12,Mom,FATHERSNAME19,MOTHERSNAME19,1234567890,23-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME20,1219321,ZZ43RF38,Class 12,Mom,FATHERSNAME20,MOTHERSNAME20,1234567890,24-01-2002,ADDRESS,student@gmail.com,IIT
